"Date","Price","Open","High","Low","Vol.","Change %"
"06/21/2019","697.49","694.28","703.07","693.96","","0.46%"
"06/20/2019","694.28","691.84","700.35","691.84","","0.35%"
"06/19/2019","691.84","690.01","698.39","689.45","","0.27%"
"06/18/2019","690.01","682.50","692.89","677.63","","1.10%"
"06/17/2019","682.50","677.66","685.08","677.66","","0.71%"
"06/14/2019","677.66","685.17","685.17","675.49","","-1.10%"
"06/13/2019","685.17","684.94","688.61","683.14","","0.03%"
"06/12/2019","684.94","689.71","689.72","683.04","","-0.69%"
"06/11/2019","689.71","687.48","693.95","687.48","","0.32%"
"06/10/2019","687.48","685.06","691.81","684.53","","0.35%"
"06/07/2019","685.06","678.63","685.44","678.61","","0.95%"
"06/06/2019","678.63","675.24","682.70","675.14","","0.50%"
