"Date","Price","Open","High","Low","Vol.","Change %"
"05/22/2020","10,458.72","10,411.18","10,496.93","10,175.69","","0.46%"
"05/21/2020","10,411.18","10,442.49","10,511.45","10,314.45","","-0.30%"
"05/20/2020","10,442.49","10,416.75","10,470.05","10,322.91","","0.25%"
"05/19/2020","10,416.75","10,321.53","10,459.57","10,295.83","","0.92%"
"05/18/2020","10,321.53","9,941.26","10,342.61","9,940.62","","3.83%"
"05/15/2020","9,941.26","9,857.78","10,027.84","9,857.17","","0.85%"
"05/14/2020","9,857.78","10,016.67","10,049.05","9,778.02","","-1.59%"
"05/13/2020","10,016.67","10,183.65","10,187.43","10,000.55","","-1.64%"
"05/12/2020","10,183.65","10,058.51","10,283.69","10,032.89","","1.24%"
"05/11/2020","10,058.51","10,049.87","10,162.74","9,934.55","","0.09%"
"05/07/2020","10,049.87","9,827.32","10,049.87","9,822.42","","2.26%"
"05/06/2020","9,827.32","9,810.05","9,907.87","9,777.26","","0.18%"
"05/05/2020","9,810.05","9,658.99","9,877.43","9,658.99","","1.56%"
"05/04/2020","9,658.99","9,680.54","9,720.54","9,473.34","","-0.22%"
"05/01/2020","9,680.54","9,822.76","9,828.92","9,644.74","","-1.45%"
"04/30/2020","9,822.76","10,251.29","10,362.74","9,817.05","","-4.18%"
"04/29/2020","10,251.29","9,886.86","10,271.10","9,876.33","","3.69%"
"04/28/2020","9,886.86","9,659.43","9,953.42","9,659.43","","2.35%"
"04/27/2020","9,659.43","9,498.16","9,730.39","9,498.16","","1.70%"
"04/24/2020","9,498.16","9,552.11","9,569.59","9,407.37","","-0.56%"
"04/23/2020","9,552.11","9,514.43","9,619.25","9,432.61","","0.40%"
"04/22/2020","9,514.43","9,266.81","9,587.78","9,259.58","","2.67%"
"04/21/2020","9,266.81","9,601.00","9,607.46","9,266.81","","-3.48%"
"04/20/2020","9,601.00","9,567.39","9,647.02","9,491.41","","0.35%"
"04/17/2020","9,567.39","9,229.45","9,682.80","9,229.45","","3.66%"
"04/16/2020","9,229.45","9,181.47","9,299.52","9,090.93","","0.52%"
"04/15/2020","9,181.47","9,545.71","9,545.71","9,151.42","","-3.82%"
"04/14/2020","9,545.71","9,672.58","9,781.33","9,528.54","","-1.31%"
"04/09/2020","9,672.58","9,380.32","9,672.58","9,320.81","","3.12%"
"04/08/2020","9,380.32","9,317.87","9,380.32","9,107.43","","0.67%"
"04/07/2020","9,317.87","8,952.15","9,483.97","8,952.15","","4.09%"
"04/06/2020","8,952.15","8,706.69","9,089.10","8,706.69","","2.82%"
"04/03/2020","8,706.69","8,635.30","8,783.18","8,487.56","","0.83%"
"04/02/2020","8,635.30","8,877.38","8,917.98","8,525.39","","-2.73%"
"04/01/2020","8,877.38","9,340.44","9,340.44","8,822.32","","-4.96%"
"03/31/2020","9,340.44","9,219.64","9,461.56","9,177.25","","1.31%"
"03/30/2020","9,219.64","9,203.46","9,235.75","8,752.57","","0.18%"
"03/27/2020","9,203.46","9,733.61","9,733.61","8,995.31","","-5.45%"
"03/26/2020","9,733.61","9,377.00","9,733.61","9,057.67","","3.80%"
"03/25/2020","9,377.00","8,802.39","9,506.56","8,802.39","","6.53%"
"03/24/2020","8,802.39","7,868.97","8,802.39","7,868.28","","11.86%"
"03/23/2020","7,868.97","8,182.22","8,182.22","7,624.64","","-3.83%"
"03/20/2020","8,182.22","7,980.94","8,544.44","7,980.94","","2.52%"
"03/19/2020","7,980.94","7,907.93","8,101.91","7,567.84","","0.92%"
"03/18/2020","7,907.93","8,386.21","8,386.21","7,528.32","","-5.70%"
"03/17/2020","8,386.21","8,483.79","8,786.23","7,998.95","","-1.15%"
"03/16/2020","8,483.79","9,219.32","9,223.06","7,911.91","","-7.98%"
"03/13/2020","9,219.32","8,957.83","9,751.48","8,957.83","","2.92%"
