"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2020","2,656.50","2,546.61","2,658.54","2,476.31","","4.32%"
"03/16/2020","2,546.61","2,628.07","2,628.07","2,383.40","","-3.10%"
"03/13/2020","2,628.07","2,519.31","2,751.77","2,519.31","","4.32%"
"03/12/2020","2,519.31","2,815.58","2,815.58","2,503.22","","-10.52%"
"03/11/2020","2,815.58","2,794.18","2,879.78","2,781.37","","0.77%"
"03/10/2020","2,794.18","2,745.07","2,906.43","2,745.07","","1.79%"
"03/09/2020","2,745.07","2,959.10","2,959.10","2,717.99","","-7.23%"
"03/06/2020","2,959.10","3,037.65","3,037.65","2,935.29","","-2.59%"
"03/05/2020","3,037.65","3,103.00","3,119.46","3,021.27","","-2.11%"
"03/04/2020","3,103.00","3,095.21","3,139.04","3,069.37","","0.25%"
"03/03/2020","3,095.21","3,156.59","3,212.39","3,084.59","","-1.94%"
"03/02/2020","3,156.59","3,203.60","3,256.37","3,100.02","","-1.47%"
"02/28/2020","3,203.60","3,248.00","3,248.00","3,129.61","","-1.37%"
"02/27/2020","3,248.00","3,403.76","3,403.76","3,213.93","","-4.58%"
"02/26/2020","3,403.76","3,353.01","3,410.53","3,343.02","","1.51%"
"02/25/2020","3,353.01","3,427.81","3,460.89","3,343.83","","-2.18%"
"02/24/2020","3,427.81","3,535.35","3,535.35","3,399.43","","-3.04%"
"02/21/2020","3,535.35","3,546.61","3,549.68","3,515.48","","-0.32%"
"02/20/2020","3,546.61","3,521.94","3,574.35","3,521.94","","0.70%"
"02/19/2020","3,521.94","3,497.16","3,565.92","3,497.16","","0.71%"
"02/18/2020","3,497.16","3,650.54","3,650.54","3,494.44","","-4.20%"
"02/17/2020","3,650.54","3,626.01","3,666.61","3,626.01","","0.68%"
"02/14/2020","3,626.01","3,673.56","3,675.14","3,626.01","","-1.29%"
"02/13/2020","3,673.56","3,694.94","3,694.94","3,622.55","","-0.58%"
"02/12/2020","3,694.94","3,666.07","3,698.77","3,664.01","","0.79%"
